c1_id,c1_code,c1_name,c1_domain,c1_class,c2_id,c2_code,c2_name,c2_domain,c2_class
905578,1091,AC-D,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905578,1091,AC-D,Regimen,Regimen,42542268,9391,ERBB2 Breast cancer,Condition,Condition
905579,1159,"Anastrozole, Lapatinib, Trastuzumab",Regimen,Regimen,905713,60431,ER|ERBB2 Breast cancer,Condition,Condition
905579,1159,"Anastrozole, Lapatinib, Trastuzumab",Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905585,2683,Brexucabtagene autoleucel monotherapy,Regimen,Regimen,42542141,567,B-cell acute lymphoblastic leukemia,Condition,Condition
905585,2683,Brexucabtagene autoleucel monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
905588,2822,"Carboplatin and Paclitaxel (CP) and Ipilimumab, Nivolumab",Regimen,Regimen,912089,25316,Non-small cell lung cancer squamous,Condition,Condition
905589,2834,"Carboplatin, Pemetrexed, Ipilimumab, Nivolumab",Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
905591,4282,"Cisplatin, Pemetrexed, Ipilimumab, Nivolumab",Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
905601,9613,"Cyclophosphamide, Etoposide, Methotrexate",Regimen,Regimen,37557545,121032,Acute lymphoblastic leukemia infant,Condition,Condition
905601,9613,"Cyclophosphamide, Etoposide, Methotrexate",Regimen,Regimen,37557960,123646,KMT2A Acute lymphoblastic leukemia infant,Condition,Condition
905602,9739,Dara-KRd,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905603,9752,Dara-Pd (SC daratumumab),Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
905605,12061,Cabazitaxel and Prednisolone,Regimen,Regimen,42542227,658,Prostate cancer,Condition,Condition
905606,14166,Carboplatin and Etoposide (CE) and Pembrolizumab,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905611,16429,Cisplatin and Etoposide (EP) and Pembrolizumab,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
905614,18414,Letrozole and Trastuzumab,Regimen,Regimen,905713,60431,ER|ERBB2 Breast cancer,Condition,Condition
905614,18414,Letrozole and Trastuzumab,Regimen,Regimen,42542145,572,Breast cancer,Condition,Condition
905616,20997,"Doxorubicin, Pegaspargase, Vincristine, Prednisone",Regimen,Regimen,905651,32320,B-cell acute lymphoblastic leukemia pediatric,Condition,Condition
905617,22581,Dasatinib and Blinatumomab,Regimen,Regimen,42542141,567,B-cell acute lymphoblastic leukemia,Condition,Condition
905617,22581,Dasatinib and Blinatumomab,Regimen,Regimen,42542263,4770,BCR::ABL1 B-cell acute lymphoblastic leukemia,Condition,Condition
905624,29033,ACVBP (Methylprednisolone),Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
905628,29622,Voxelotor monotherapy,Regimen,Regimen,42542233,665,Sickle cell anemia,Condition,Condition
905631,29719,Belzutifan monotherapy,Regimen,Regimen,905788,65176,VHL Renal cell carcinoma,Condition,Condition
