concept_id,concept_name,concept_class_id,vocabulary_id,domain_id,concept_code,invalid_reason,valid_concept_id
905596,Brexucabtagene autoleucel,Component,HemOnc,Drug,6632,,37002369
905621,Asparaginase erwinia chrysanthemi-rywn,Component,HemOnc,Drug,27223,,19012585
905627,Voxelotor,Component,HemOnc,Drug,29560,,37497986
905629,Belumosudil,Component,HemOnc,Drug,29663,,701423
905630,Belzutifan,Component,HemOnc,Drug,29688,,701696
905633,Amivantamab,Component,HemOnc,Drug,29753,,1536935
905636,Azacitidine oral,Component,HemOnc,Drug,29973,,1314865
905668,Dostarlimab,Component,HemOnc,Drug,34976,,1536789
905700,Loncastuximab tesirine,Component,HemOnc,Drug,53908,,1536834
905710,Dalpiciclib,Component,HemOnc,Drug,59131,,36852677
905727,Sintilimab,Component,HemOnc,Drug,61131,,36854475
905738,Iptacopan,Component,HemOnc,Drug,61269,,747398
905740,Melphalan flufenamide,Component,HemOnc,Drug,61306,,740067
905743,Pirtobrutinib,Component,HemOnc,Drug,61419,,1301683
905757,Sutimlimab,Component,HemOnc,Drug,61962,,1758949
905776,Tislelizumab,Component,HemOnc,Drug,64463,,42609339
905777,Toripalimab,Component,HemOnc,Drug,64471,,747052
905786,Teclistamab,Component,HemOnc,Drug,65150,,741578
911920,Capmatinib,Component,HemOnc,Drug,3231,,1145637
911953,Belantamab mafodotin,Component,HemOnc,Drug,4380,,37002419
911976,Tucatinib,Component,HemOnc,Drug,4683,,1145571
911978,Daratumumab and hyaluronidase,Component,HemOnc,Drug,4940,,19073699
911978,Daratumumab and hyaluronidase,Component,HemOnc,Drug,4940,,35605744
911990,Alitretinoin,Component,HemOnc,Drug,6008,,941052
911991,Acetazolamide,Component,HemOnc,Drug,6021,,929435
912000,Alizapride,Component,HemOnc,Drug,8437,,19030087
912001,Amonafide,Component,HemOnc,Drug,10767,,44506774
912004,Ampicillin,Component,HemOnc,Drug,12017,,1717327
912008,Anakinra,Component,HemOnc,Drug,12282,,1114375
912009,Ancestim,Component,HemOnc,Drug,12306,,19018070
912014,Aripiprazole,Component,HemOnc,Drug,13293,,757688
912015,Atenolol,Component,HemOnc,Drug,13341,,1314002
912017,Pemigatinib,Component,HemOnc,Drug,13351,,37499576
912021,Ripretinib,Component,HemOnc,Drug,13651,,1145752
912025,Azathioprine,Component,HemOnc,Drug,13715,,19014878
912026,Selpercatinib,Component,HemOnc,Drug,13759,,1145791
912033,Decitabine and cedazuridine,Component,HemOnc,Drug,14235,,1146666
912033,Decitabine and cedazuridine,Component,HemOnc,Drug,14235,,19024728
912035,Bismuth subcitrate,Component,HemOnc,Drug,14322,,958134
912036,Bismuth subsalicylate,Component,HemOnc,Drug,14330,,937791
912041,Camrelizumab,Component,HemOnc,Drug,14742,,36853469
912057,Relugolix,Component,HemOnc,Drug,18352,,739471
912071,Trimetrexate,Component,HemOnc,Drug,18846,,1750928
912075,Tepotinib,Component,HemOnc,Drug,19782,,739739
912078,Epoetin beta,Component,HemOnc,Drug,20206,,19001311
912085,Lisocabtagene maraleucel,Component,HemOnc,Drug,21215,,739856
912093,Pexidartinib,Component,HemOnc,Drug,25485,,1361445
912094,Pralsetinib,Component,HemOnc,Drug,25527,,37002765
912096,Stilbamidine,Component,HemOnc,Drug,25815,,36861506
912103,Lurbinectedin,Component,HemOnc,Drug,26763,,1146139
912105,Metronidazole,Component,HemOnc,Drug,26852,,1707164
912108,Naxitamab,Component,HemOnc,Drug,26950,,739531
912109,Pegfilgrastim-bmez,Component,HemOnc,Drug,27416,,1325608
912111,Tetracycline,Component,HemOnc,Drug,27930,,1836948
912120,Adavosertib,Component,HemOnc,Drug,32625,,36858735
912142,Colchicine,Component,HemOnc,Drug,34403,,1101554
912167,Interferon alfa-2c,Component,HemOnc,Drug,59220,,40798893
912168,Interferon alfa-n1,Component,HemOnc,Drug,59221,,19044394
912179,Margetuximab,Component,HemOnc,Drug,59291,,739518
912193,Sotorasib,Component,HemOnc,Drug,59461,,1536963
912199,Umbralisib,Component,HemOnc,Drug,59505,,739804
1524825,Aumolertinib,Component,HemOnc,Drug,12637,,36861628
1524829,Bevacizumab-adcd,Component,HemOnc,Drug,13334,,1397141
1524876,Elacestrant,Component,HemOnc,Drug,18359,,1301646
1524878,Envafolimab,Component,HemOnc,Drug,18741,,36857081
1524879,Futibatinib,Component,HemOnc,Drug,20248,,1301597
1524935,Penpulimab,Component,HemOnc,Drug,32384,,36858261
1524936,Rezvilutamide,Component,HemOnc,Drug,33912,,36853397
1524945,Serplulimab,Component,HemOnc,Drug,35064,,36861273
1524954,Sugemalimab,Component,HemOnc,Drug,36080,,36854773
1524991,Adebrelimab,Component,HemOnc,Drug,38688,,36849791
1525003,Sirolimus protein-bound particles,Component,HemOnc,Drug,43485,,19034726
1525010,Suramin,Component,HemOnc,Drug,45472,,19136651
1525012,Adagrasib,Component,HemOnc,Drug,45753,,1301337
1525015,Tebentafusp,Component,HemOnc,Drug,47700,,1758886
1525023,Zimberelimab,Component,HemOnc,Drug,48632,,36863769
1525037,Ciltacabtagene autoleucel,Component,HemOnc,Drug,51229,,779144
1525046,Fludrocortisone,Component,HemOnc,Drug,52383,,1555120
1525057,Mitapivat,Component,HemOnc,Drug,58331,,779081
1525063,Nivolumab and relatlimab,Component,HemOnc,Drug,59120,,779239
1525063,Nivolumab and relatlimab,Component,HemOnc,Drug,59120,,45892628
1525130,Epcoritamab,Component,HemOnc,Drug,66092,,1201211
1525133,Filgrastim-aafi,Component,HemOnc,Drug,66258,,1304850
1525149,Lutetium Lu 177 vipivotide tetraxetan,Component,HemOnc,Drug,68645,,779271
1525156,Mobocertinib,Component,HemOnc,Drug,69109,,701915
1525163,Pegfilgrastim-apgf,Component,HemOnc,Drug,69847,,1325608
1525167,Rituximab-arrx,Component,HemOnc,Drug,70306,,1314273
1525170,Tisotumab vedotin,Component,HemOnc,Drug,71307,,701957
1525182,Rilzabrutinib,Component,HemOnc,Drug,72560,,36859949
1525193,Tasadenoturev,Component,HemOnc,Drug,73494,,36853697
1525201,Lanreotide LAR,Component,HemOnc,Drug,75279,,1503501
1525205,Pimitespib,Component,HemOnc,Drug,75337,,36860485
35100362,Ravulizumab,Component,HemOnc,Drug,94609,,1356009
35100416,Polatuzumab vedotin,Component,HemOnc,Drug,93818,,1396729
35100439,Penicillin V,Component,HemOnc,Drug,93237,,1729720
35100444,Pegfilgrastim-cbqv,Component,HemOnc,Drug,93181,,1325608
35100449,Palifermin,Component,HemOnc,Drug,92673,,19038562
35100700,Strontium-89,Component,HemOnc,Drug,98422,,19000815
35101066,Nystatin,Component,HemOnc,Drug,91138,,922570
35101252,Trastuzumab and hyaluronidase,Component,HemOnc,Drug,49082,,1387104
35101252,Trastuzumab and hyaluronidase,Component,HemOnc,Drug,49082,,19073699
35101511,Meperidine,Component,HemOnc,Drug,46677,,1102527
35101513,Hydroxyzine,Component,HemOnc,Drug,46632,,777221
35101515,Emapalumab,Component,HemOnc,Drug,46354,,1355650
35101518,Clonazepam,Component,HemOnc,Drug,46333,,798874
35101522,Ascorbic acid,Component,HemOnc,Drug,46306,,19011773
35101600,Cephalexin,Component,HemOnc,Drug,44124,,1786621
35101605,Cefixime,Component,HemOnc,Drug,44069,,1796435
35101654,Benralizumab,Component,HemOnc,Drug,34282,,792993
35101738,Bevacizumab-bvzr,Component,HemOnc,Drug,27957,,1397141
35101749,Idecabtagene vicleucel,Component,HemOnc,Drug,23426,,36026868
35101858,Amoxicillin,Component,HemOnc,Drug,11533,,1713332
35101867,Alpelisib,Component,HemOnc,Drug,10396,,1396423
35101953,Fedratinib,Component,HemOnc,Drug,48561,,1361614
35802855,Eluvixtamab,Component,HemOnc,Drug,1,,36853367
35802856,Capivasertib,Component,HemOnc,Drug,2,,747200
35802857,Abciximab,Component,HemOnc,Drug,3,,19047423
35802858,Abemaciclib,Component,HemOnc,Drug,4,,792649
35802859,Abexinostat,Component,HemOnc,Drug,5,,36858383
35802860,Abiraterone,Component,HemOnc,Drug,6,,40239056
35802861,Acalabrutinib,Component,HemOnc,Drug,7,,792764
35802862,Acetaminophen,Component,HemOnc,Drug,8,,1125315
35802863,Aclarubicin,Component,HemOnc,Drug,9,,19057483
35802864,Actinium Ac 225 lintuzumab,Component,HemOnc,Drug,10,,36862394
35802865,Acyclovir,Component,HemOnc,Drug,11,,1703687
35802866,Trastuzumab emtansine,Component,HemOnc,Drug,12,,902726
35802867,Afatinib,Component,HemOnc,Drug,13,,43533090
35802868,Afuresertib,Component,HemOnc,Drug,14,,36854288
35802869,Aldesleukin,Component,HemOnc,Drug,15,,1309770
35802870,Alectinib,Component,HemOnc,Drug,16,,35604657
35802871,Alemtuzumab,Component,HemOnc,Drug,17,,1312706
35802872,Alendronate,Component,HemOnc,Drug,18,,1557272
35802873,Alisertib,Component,HemOnc,Drug,19,,36861654
35802874,All-trans retinoic acid,Component,HemOnc,Drug,20,,903643
35802875,Allopurinol,Component,HemOnc,Drug,21,,1167322
35802876,Alprazolam,Component,HemOnc,Drug,22,,781039
35802877,Altretamine,Component,HemOnc,Drug,23,,1368823
35802878,Alvocidib,Component,HemOnc,Drug,24,,36851446
35802879,Amatuximab,Component,HemOnc,Drug,25,,36853119
35802880,Amifostine,Component,HemOnc,Drug,26,,1350040
35802881,Aminocaproic acid,Component,HemOnc,Drug,27,,1369939
35802882,Aminoglutethimide,Component,HemOnc,Drug,28,,1503057
35802883,Aminopterin,Component,HemOnc,Drug,29,,44506771
35802884,Amrubicin,Component,HemOnc,Drug,30,,36854863
35802885,Amsacrine,Component,HemOnc,Drug,31,,19017810
35802886,Anagrelide,Component,HemOnc,Drug,32,,1381253
35802887,Anastrozole,Component,HemOnc,Drug,33,,1348265
35802888,Anti-inhibitor coagulant complex,Component,HemOnc,Drug,34,,19080406
35802889,Antithrombin III,Component,HemOnc,Drug,35,,1436169
35802890,Antithymocyte globulin horse ATG,Component,HemOnc,Drug,36,,19136207
35802891,Antithymocyte globulin rabbit ATG,Component,HemOnc,Drug,37,,19136207
35802892,Apalutamide,Component,HemOnc,Drug,39,,963987
35802893,Apatinib,Component,HemOnc,Drug,40,,35884400
35802894,Apixaban,Component,HemOnc,Drug,41,,43013024
35802895,Aprepitant,Component,HemOnc,Drug,42,,936748
35802896,Argatroban,Component,HemOnc,Drug,43,,1322207
35802897,Arsenic trioxide,Component,HemOnc,Drug,44,,1333379
35802898,Asparaginase,Component,HemOnc,Drug,45,,19012585
35802899,Asparaginase Erwinia chrysanthemi,Component,HemOnc,Drug,46,,19012585
35802900,Aspirin,Component,HemOnc,Drug,47,,1718517
35802901,Aspirin and dipyridamole,Component,HemOnc,Drug,48,,1112807
35802901,Aspirin and dipyridamole,Component,HemOnc,Drug,48,,1331270
35802902,Atezolizumab,Component,HemOnc,Drug,49,,42629079
35802903,Atovaquone,Component,HemOnc,Drug,50,,1781733
35802904,Atropine,Component,HemOnc,Drug,51,,914335
35802905,Avatrombopag,Component,HemOnc,Drug,52,,1510483
35802906,Avelumab,Component,HemOnc,Drug,53,,1593273
35802907,Axicabtagene ciloleucel,Component,HemOnc,Drug,54,,792844
35802908,Axitinib,Component,HemOnc,Drug,55,,42709322
35802909,Azacitidine,Component,HemOnc,Drug,56,,1314865
35802913,Barasertib,Component,HemOnc,Drug,60,,36849388
35802914,Bavituximab,Component,HemOnc,Drug,61,,36860594
35802916,Belinostat,Component,HemOnc,Drug,63,,45776670
35802917,Belotecan,Component,HemOnc,Drug,64,,36850058
35802918,Bendamustine,Component,HemOnc,Drug,65,,19015523
35802919,Betrixaban,Component,HemOnc,Drug,66,,1592988
35802920,Bevacizumab-awwb,Component,HemOnc,Drug,67,,1397141
35802921,Bevacizumab,Component,HemOnc,Drug,68,,1397141
35802922,Bexarotene,Component,HemOnc,Drug,69,,1389888
35802923,Bicalutamide,Component,HemOnc,Drug,70,,1344381
35802924,Binimetinib,Component,HemOnc,Drug,71,,1559930
35802925,Bivalirudin,Component,HemOnc,Drug,72,,19084670
35802926,Bleomycin,Component,HemOnc,Drug,73,,1329241
35802927,Blinatumomab,Component,HemOnc,Drug,74,,45892531
35802928,Bortezomib,Component,HemOnc,Drug,75,,1336825
35802929,Bosutinib,Component,HemOnc,Drug,76,,42900401
35802930,Brentuximab vedotin,Component,HemOnc,Drug,77,,40241969
35802931,Brigatinib,Component,HemOnc,Drug,78,,1594187
35802932,Buparlisib,Component,HemOnc,Drug,79,,36849169
35802933,Busulfan,Component,HemOnc,Drug,80,,1333357
35802934,Cabazitaxel,Component,HemOnc,Drug,81,,40222431
35802935,Cabozantinib,Component,HemOnc,Drug,82,,43012292
35802936,Calaspargase,Component,HemOnc,Drug,83,,1510939
35802937,Calcium phosphate rinse,Component,HemOnc,Drug,84,,19037401
35802938,Cangrelor,Component,HemOnc,Drug,85,,46275677
35802939,Capecitabine,Component,HemOnc,Drug,86,,1337620
35802940,Caplacizumab,Component,HemOnc,Drug,87,,1366428
35802941,Carboplatin,Component,HemOnc,Drug,88,,1344905
35802942,Carfilzomib,Component,HemOnc,Drug,89,,42873638
35802943,Carmustine,Component,HemOnc,Drug,90,,1350066
35802944,Carmustine wafer polifeprosan 20,Component,HemOnc,Drug,91,,19074786
35802945,Caspofungin,Component,HemOnc,Drug,92,,1718054
35802946,Catumaxomab,Component,HemOnc,Drug,93,,36879077
35802947,Cediranib,Component,HemOnc,Drug,94,,36859905
35802948,Cemiplimab,Component,HemOnc,Drug,95,,35200783
35802949,Ceritinib,Component,HemOnc,Drug,96,,44818466
35802950,Cetirizine,Component,HemOnc,Drug,97,,1149196
35802951,Cetuximab,Component,HemOnc,Drug,98,,1315411
35802952,Chidamide,Component,HemOnc,Drug,99,,35884379
35802953,Chlorambucil,Component,HemOnc,Drug,100,,1390051
35802954,Chlorpheniramine,Component,HemOnc,Drug,101,,1192710
35802955,Cilostazol,Component,HemOnc,Drug,102,,1350310
35802956,Cimetidine,Component,HemOnc,Drug,103,,997276
35802957,Ciprofloxacin,Component,HemOnc,Drug,104,,1797513
35802958,Cisplatin,Component,HemOnc,Drug,105,,1397599
35802959,Cixutumumab,Component,HemOnc,Drug,106,,36849892
35802960,Cladribine,Component,HemOnc,Drug,107,,19054825
35802961,Clarithromycin,Component,HemOnc,Drug,108,,1750500
35802962,Clemastine,Component,HemOnc,Drug,109,,1197677
35802963,Clodronate,Component,HemOnc,Drug,110,,19024249
35802964,Clofarabine,Component,HemOnc,Drug,111,,19054821
35802965,Clopidogrel,Component,HemOnc,Drug,112,,1322184
