"study","regimen","regimen_cui","phase","portion","component","component_cui","component_role","cycle_length_lb","cycle_length_ub","cycle_length_unit","timing_sequence","timing","branch","branch_type","cyclesigs","cyclesigs_note","step_number","class","doseMinNum","doseMaxNum","doseUnit","doseUnit_cui","divided","doseCapNum","doseCapUnit","doseCapUnit_cui","targetLevel","targetLevelUnit","targetLevelUnit_cui","targetLevelType","route","route_cui","allDays","durationMinNum","durationMaxNum","durationUnit","durationUnit_cui","frequency","frequency_cui","inParens","sequence","seq.rel.when","seq.rel.when.unit","seq.rel","seq.rel.what","tail","variant","variant_cui","temp","date_added"
"MDACC ID01-233","(90)YFC, then allo HSCT","19726","Consolidation","-","Allogeneic stem cells","38881","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","Non-canonical Sig","","","",NA,FALSE,NA,"",NA,"","",NA,"","IV","44957","0",NA,NA,"",NA,"",NA,"","","","","","","-","Variant #01","129496",NA,"2023-09-19"
"MDACC ID01-233","(90)YFC, then allo HSCT","19726","Consolidation","-","Cyclophosphamide","122","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","IV intermittent canonical Sig","750","750","mg/m^2","134448",FALSE,NA,"",NA,"","",NA,"","IV","44957","[-5,-3,1]",NA,NA,"",NA,"once per day","139562","","","","","","","-","Variant #01","129496",NA,"2023-09-19"
"MDACC ID01-233","(90)YFC, then allo HSCT","19726","Consolidation","-","Fludarabine","224","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","IV intermittent canonical Sig","30","30","mg/m^2","134448",FALSE,NA,"",NA,"","",NA,"","IV","44957","[-5,-3,1]",NA,NA,"",NA,"once per day","139562","","","","","","","-","Variant #01","129496",NA,"2023-09-19"
"MDACC ID01-233","(90)YFC, then allo HSCT","19726","Consolidation","-","Ibritumomab tiuxetan","262","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 2","Non-canonical Sig","","","",NA,FALSE,NA,"",NA,"","",NA,"","IV","44957","^-14",NA,NA,"",NA,"once","139563","","","","","","","-","Variant #01","129496",NA,"2023-09-19"
"MDACC ID01-233","(90)YFC, then allo HSCT","19726","Consolidation","-","Ibritumomab tiuxetan","262","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","2 of 2","Rad Sig","0.4","0.4","mCi/kg","134443",FALSE,"32","GBq","134428","","",NA,"","IV","44957","^-7",NA,NA,"",NA,"once","139563","(maximum dose of 32 mCi/1.2 GBq)","","","","","","-","Variant #01","129496",NA,"2023-09-19"
"MDACC ID01-233","(90)YFC, then allo HSCT","19726","Consolidation","-","Rituximab","446","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","IV intermittent canonical Sig","250","250","mg/m^2","134448",FALSE,NA,"",NA,"","",NA,"","IV","44957","[-14,-7,7]",NA,NA,"",NA,"once per day","139562","","","","","","","-","Variant #01","129496",NA,"2023-09-19"
"CP-97-012|Kaminski et al. 1993|Press et al. 1995|RIT-II-004|SB-393229/032","131Iodine-Tositumomab monotherapy","19847","","therapeutic step","Acetaminophen","8","secondary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","Non-canonical Sig","650","650","mg","134444",FALSE,NA,"",NA,"","",NA,"","PO","44954","",NA,NA,"",NA,"",NA,"(Bexxar)","","","","","","-","N/A - secondary systemic drug",NA,NA,"2023-09-19"
"CP-97-012|Kaminski et al. 1993|Press et al. 1995|RIT-II-004|SB-393229/032","131Iodine-Tositumomab monotherapy","19847","","therapeutic step","Diphenhydramine","162","secondary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","Non-canonical Sig","50","50","mg","134444",FALSE,NA,"",NA,"","",NA,"","PO","44954","",NA,NA,"",NA,"",NA,"(Bexxar)","","","","","","-","N/A - secondary systemic drug",NA,NA,"2023-09-19"
"CP-97-012|Kaminski et al. 1993|Kaminski et al. 2005|Press et al. 1995|RIT-II-004|SB-393229/032|Vose et al. 2000","131Iodine-Tositumomab monotherapy","19847","","dosimetric step","Tositumomab and I-131","506","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","Non-canonical Sig","","","",NA,FALSE,NA,"",NA,"","",NA,"","IV","44957","0","20","20","minute","134451","",NA,"","","","","","","-","Variant #01","129497",NA,"2023-09-19"
"CP-97-012|Kaminski et al. 1993|Kaminski et al. 2005|Press et al. 1995|RIT-II-004|SB-393229/032|Vose et al. 2000","131Iodine-Tositumomab monotherapy","19847","","therapeutic step","Tositumomab and I-131","506","primary systemic","1","1","indeterminate","1","","Platelet count 150 x 10^9/L or more","laboratory-based (platelets)","One course","","1 of 1","Rad Sig","75","75","cGy","139561",FALSE,NA,"",NA,"","",NA,"","IV","44957","","20","20","minute","134451","",NA,"","","","","","","-","Variant #01","129497",NA,"2023-09-19"
"CP-97-012|Kaminski et al. 1993|Kaminski et al. 2005|Press et al. 1995|RIT-II-004|SB-393229/032|Vose et al. 2000","131Iodine-Tositumomab monotherapy","19847","","dosimetric step","Tositumomab and I-131","506","primary systemic","1","1","indeterminate","1","","none","N/A","One course","","1 of 1","Non-canonical Sig","","","",NA,FALSE,NA,"",NA,"","",NA,"","IV","44957","0","20","20","minute","134451","",NA,"","","","","","","-","Variant #02","144834",NA,"2024-10-20"
